feature,mean_absolute_shap,feature_index
Feature_219,1.9654163,219
Feature_433,1.6288701,433
Feature_79,0.9036434,79
Feature_732,0.71793,732
Feature_110,0.6976653,110
Feature_812,0.48714817,812
Feature_1152,0.29892823,1152
Feature_790,0.28915477,790
Feature_1054,0.2812771,1054
Feature_857,0.22364324,857
Feature_478,0.22069433,478
Feature_631,0.16027224,631
Feature_648,0.14318866,648
Feature_1008,0.14169633,1008
Feature_74,0.10978116,74
Feature_292,0.09435407,292
Feature_58,0.0917275,58
Feature_1279,0.07722729,1279
Feature_164,0.059716452,164
Feature_439,0.05937117,439
Feature_215,0.055051662,215
Feature_312,0.054078687,312
Feature_536,0.05335909,536
Feature_1022,0.043508515,1022
Feature_574,0.04173596,574
Feature_160,0.039047554,160
Feature_839,0.034239024,839
Feature_791,0.032229587,791
Feature_436,0.026129266,436
Feature_676,0.026059791,676
Feature_1065,0.026026562,1065
Feature_105,0.025611881,105
Feature_301,0.025256906,301
Feature_1110,0.02222085,1110
Feature_272,0.017315956,272
Feature_1149,0.015235749,1149
Feature_946,0.0151331825,946
Feature_389,0.013455861,389
Feature_1045,0.013291104,1045
Feature_6,0.013080112,6
Feature_70,0.0126667945,70
Feature_14,0.012582085,14
Feature_620,0.010862719,620
Feature_134,0.010574457,134
Feature_1201,0.010089713,1201
Feature_1058,0.009581563,1058
Feature_204,0.00934041,204
Feature_1246,0.009323891,1246
Feature_757,0.008528042,757
Feature_1018,0.008086429,1018
Feature_820,0.00791838,820
Feature_622,0.00761455,622
Feature_555,0.0075638006,555
Feature_234,0.007011394,234
Feature_515,0.006953644,515
Feature_1,0.006892765,1
Feature_84,0.006774163,84
Feature_193,0.00663092,193
Feature_140,0.0066227727,140
Feature_245,0.006615679,245
Feature_200,0.006521511,200
Feature_88,0.0062531945,88
Feature_90,0.0059399297,90
Feature_596,0.0059084636,596
Feature_493,0.005867715,493
Feature_616,0.005537196,616
Feature_278,0.005207124,278
Feature_161,0.005127446,161
Feature_38,0.005067256,38
Feature_1198,0.0048619583,1198
Feature_65,0.004741002,65
Feature_51,0.004511581,51
